ANO,MES,COD_UF,COD_MESO,COD_MICRO,COD_MUNICIPIO,COD_PRODUTO,SAFRA,IRRIGADO,COD_FONTE,COD_FASE,COD_OCORRENCIA,EM_FORMACAO,PLANTADA,COLHIDA,PERC_COLHIDO_MES,PRODUCAO,RENDIMENTO,PRECO,OBSERVACAO,DT_ATUALIZACAO,SGL_SIGLA,COLHIDO_ACUMULADO,PRECO_MEDIO_ANUAL
2011,12,32,1,1,169,0111.0020,1,S,9,6,9,,35,35,0,105,3000,500.00,,02/01/2012,SISTEMA,0,504.76
2011,12,32,1,1,169,0111.0070,1,N,9,6,9,,50,50,0,90,1800,780.00,,02/01/2012,SISTEMA,0,777.77
2011,12,32,1,1,169,0113.0010,0,N,9,6,9,0,20,20,0,800,40000,50.00,,02/01/2012,SISTEMA,0,50
2011,12,32,1,1,169,0119.1040,1,N,9,6,9,,45,45,0,36,800,1250.00,,02/01/2012,SISTEMA,0,1541.66
2011,12,32,1,1,169,0119.1040,2,S,9,6,9,,45,45,0,36,800,1833.00,,02/01/2012,SISTEMA,0,1541.66
2011,12,32,1,1,169,0119.2050,0,N,9,6,9,0,70,70,0,2800,40000,50.00,,02/01/2012,SISTEMA,0,47
2011,12,32,1,1,169,0119.3020,0,N,9,6,9,,5,5,0,75,15000,400.00,,02/01/2012,SISTEMA,0,400
2011,12,32,1,1,169,0119.4040,0,N,9,6,9,0,50,50,0,750,15000,200.00,,02/01/2012,SISTEMA,0,145
2011,12,32,1,1,169,0119.9010,0,N,9,6,9,,5,5,0,75,15000,600.00,,02/01/2012,SISTEMA,0,500
2011,12,32,1,1,169,0121.3110,0,N,9,6,9,,5,5,0,75,15000,650.00,,02/01/2012,SISTEMA,0,1130
2011,12,32,1,1,169,0131.0010,0,N,1,6,9,0,15,15,0,135,9000,900.00,,02/01/2012,SISTEMA,0,903.70
2011,12,32,1,1,169,0133.2340,0,N,1,6,9,20,40,40,0,400,10000,600.00,,02/01/2012,SISTEMA,0,600
2011,12,32,1,1,169,0133.3030,0,N,1,6,9,0,10,10,0,80,8000,400.00,,02/01/2012,SISTEMA,0,400
2011,12,32,1,1,169,0134.0021,0,N,9,6,9,0,850,850,0,612,720,5433.00,,02/01/2012,SISTEMA,0,4500
2011,12,32,1,1,169,0134.0022,0,N,9,6,9,180,1890,1890,0,2236,1183,4833.00,,02/01/2012,SISTEMA,0,3592
2011,12,32,1,1,169,0134.0022,0,S,9,6,9,20,210,210,0,248,1181,4833.00,,02/01/2012,SISTEMA,0,3592
2011,12,32,1,1,169,0135.0010,0,N,1,6,9,0,3,3,0,2,667,4500.00,,02/01/2012,SISTEMA,0,4500
2011,12,32,1,1,904,0111.0020,1,N,9,6,9,,400,400,0,800,2000,500.00,,02/01/2012,SISTEMA,0,500
2011,12,32,1,1,904,0111.0070,1,N,9,6,9,,400,400,0,920,2300,780.00,,02/01/2012,SISTEMA,0,780.43
2011,12,32,1,1,904,0119.1040,1,N,9,6,9,,140,140,0,84,600,0.00,,02/01/2012,SISTEMA,0,1403.50
2011,12,32,1,1,904,0119.1040,2,N,1,6,9,,50,50,0,30,600,1833.00,,02/01/2012,SISTEMA,0,1403.50
2011,12,32,1,1,904,0119.2050,0,N,9,6,9,7,40,40,0,800,20000,50.00,,02/01/2012,SISTEMA,0,47
2011,12,32,1,1,904,0119.3020,0,N,9,6,9,,3,3,0,9,3000,400.00,,02/01/2012,SISTEMA,0,444.44
2011,12,32,1,1,904,0119.4040,0,N,9,6,9,0,55,55,0,825,15000,200.00,,02/01/2012,SISTEMA,0,145
2011,12,32,1,1,904,0133.2080,0,N,1,6,9,2,11,11,0,47,4273,600.00,Ratifico o rendimento baixo tendo em vista a falta de adubação e irrigação da lavoura. Houve Reavaliação da banana pelo técnico especializado da INCAPER.,02/01/2012,SISTEMA,0,600.42
2011,12,32,1,1,904,0133.2080,0,S,1,6,9,14,95,95,0,426,4484,600.00,Ratifico o rendimento baixo tendo em vista a falta de adubação e irrigação da lavoura. Houve Reavaliação da banana pelo técnico especializado da INCAPER.,02/01/2012,SISTEMA,0,600.42
2011,12,32,1,1,904,0133.2340,0,N,9,6,9,5,54,54,0,1512,28000,600.00,,02/01/2012,SISTEMA,0,599.87
2011,12,32,1,1,904,0133.3030,0,N,9,6,9,0,250,250,0,2250,9000,400.00,,02/01/2012,SISTEMA,0,400
2011,12,32,1,1,904,0134.0022,0,N,9,6,9,400,2400,2400,0,3168,1320,4833.00,,02/01/2012,SISTEMA,0,3592
2011,12,32,1,1,904,0134.0022,0,S,9,6,9,600,3600,3600,0,4752,1320,4833.00,,02/01/2012,SISTEMA,0,3592
2011,12,32,1,1,904,0135.0010,0,N,1,6,9,2,2,2,0,0,0,4500.00,,02/01/2012,SISTEMA,0,0
2011,12,32,1,1,2108,0111.0020,1,N,9,6,7,,50,50,0,150,3000,500.00,,02/01/2012,SISTEMA,0,500
2011,12,32,1,1,2108,0111.0070,1,N,9,6,7,,18,18,0,32,1778,780.00,Diminuiu a área em virtude da seca que ocorreu na época do plantio.,02/01/2012,SISTEMA,0,777.78
2011,12,32,1,1,2108,0111.0070,1,S,9,6,7,,2,2,0,4,2000,780.00,Diminuiu a área em virtude da seca que ocorreu na época do plantio.,02/01/2012,SISTEMA,0,777.78
2011,12,32,1,1,2108,0113.0010,0,N,9,6,9,0,100,100,0,6000,60000,50.00,Com a entrada do produto cana forrageira pode-se identificar melhor a destinação da cana.,02/01/2012,SISTEMA,0,50
2011,12,32,1,1,2108,0119.1040,1,N,9,6,7,,15,15,0,9,600,1250.00,,02/01/2012,SISTEMA,0,1555.56
2011,12,32,1,1,2108,0119.1040,2,N,9,6,7,,15,15,0,9,600,1833.00,,02/01/2012,SISTEMA,0,1555.56
2011,12,32,1,1,2108,0119.2050,0,N,9,6,9,0,350,350,0,21000,60000,50.00,,02/01/2012,SISTEMA,0,47
2011,12,32,1,1,2108,0119.4040,0,N,9,6,9,0,90,90,0,1350,15000,200.00,,02/01/2012,SISTEMA,0,145
2011,12,32,1,1,2108,0119.9010,0,N,9,6,9,,5,5,0,50,10000,600.00,,02/01/2012,SISTEMA,0,500
2011,12,32,1,1,2108,0121.2100,0,N,9,6,9,,2,2,0,100,50000,900.00,,02/01/2012,SISTEMA,0,900
2011,12,32,1,1,2108,0121.3050,0,N,9,6,9,,2,2,0,20,10000,666.00,,02/01/2012,SISTEMA,0,650
2011,12,32,1,1,2108,0121.3110,0,N,9,6,9,,1,1,0,18,18000,650.00,,02/01/2012,SISTEMA,0,1130
2011,12,32,1,1,2108,0131.0010,0,N,9,6,9,0,5,5,0,40,8000,900.00,,02/01/2012,SISTEMA,0,900
2011,12,32,1,1,2108,0132.0010,0,S,9,4,9,8,0,0,0,0,0,0.00,,02/01/2012,SISTEMA,0,0
2011,12,32,1,1,2108,0132.0020,0,N,9,4,9,8,0,0,0,0,0,0.00,,02/01/2012,SISTEMA,0,0
2011,12,32,1,1,2108,0133.1040,0,N,9,6,9,0,5,5,0,80,16000,750.00,,02/01/2012,SISTEMA,0,750
2011,12,32,1,1,2108,0133.2080,0,N,9,6,9,0,50,50,0,650,13000,600.00,,02/01/2012,SISTEMA,0,600
2011,12,32,1,1,2108,0133.2220,0,N,9,6,9,0,4,4,0,60,15000,1350.00,,02/01/2012,SISTEMA,0,1350
2011,12,32,1,1,2108,0133.2340,0,N,9,6,9,0,5,5,0,50,10000,600.00,,02/01/2012,SISTEMA,0,600
2011,12,32,1,1,2108,0133.3030,0,N,9,6,7,0,5,5,0,48,9600,400.00,,02/01/2012,SISTEMA,0,395.83
2011,12,32,1,1,2108,0134.0021,0,N,9,6,9,0,50,50,0,36,720,5433.00,,02/01/2012,SISTEMA,0,4500
2011,12,32,1,1,2108,0134.0022,0,N,9,6,9,50,600,600,0,720,1200,4833.00,Reavaliação do rendimento médio. tendo em vista que alguns produtores não realizam tratos culturais.,02/01/2012,SISTEMA,0,3592
2011,12,32,1,1,2108,0134.0022,0,S,9,6,9,50,600,600,0,720,1200,4833.00,Reavaliação do rendimento médio. tendo em vista que alguns produtores não realizam tratos culturais.,02/01/2012,SISTEMA,0,3592
2011,12,32,1,1,2108,0139.2010,0,N,9,6,9,0,10,10,0,20,2000,2900.00,Borracha: erradicado 15 ha.,02/01/2012,SISTEMA,0,2900
2011,12,32,1,1,3304,0111.0020,1,S,9,6,9,,100,100,0,300,3000,500.00,,02/01/2012,SISTEMA,0,500
2011,12,32,1,1,3304,0111.0070,1,N,9,6,9,,60,60,0,78,1300,780.00,,02/01/2012,SISTEMA,0,782.05
2011,12,32,1,1,3304,0119.1040,1,N,9,6,9,,40,40,0,24,600,0.00,,02/01/2012,SISTEMA,0,1387.09
2011,12,32,1,1,3304,0119.1040,2,N,9,6,9,,12,12,0,7,583,1833.00,,02/01/2012,SISTEMA,0,1387.097
2011,12,32,1,1,3304,0119.3010,0,N,9,12,9,0,4,4,0,0,0,0.00,,02/01/2012,SISTEMA,0,0
2011,12,32,1,1,3304,0121.2100,0,S,9,6,9,,15,15,0,600,40000,900.00,,02/01/2012,SISTEMA,0,900
2011,12,32,1,1,3304,0131.0010,0,N,1,6,9,0,25,25,0,150,6000,900.00,,02/01/2012,SISTEMA,0,900
2011,12,32,1,1,3304,0132.0020,0,S,9,4,9,6,0,0,0,0,0,0.00,,02/01/2012,SISTEMA,0,0
2011,12,32,1,1,3304,0133.2080,0,N,9,6,9,15,35,35,0,147,4200,600.00,,02/01/2012,SISTEMA,56,500
2011,12,32,1,1,3304,0133.2340,0,N,1,6,9,20,180,180,0,1260,7000,600.00,,02/01/2012,SISTEMA,0,600
2011,12,32,1,1,3304,0133.3030,0,N,1,6,9,0,12,12,0,144,12000,400.00,,02/01/2012,SISTEMA,0,402.78
2011,12,32,1,1,3304,0134.0021,0,N,9,6,9,200,4000,4000,0,6000,1500,6333.00,,02/01/2012,SISTEMA,0,4500
2011,12,32,1,1,3304,0134.0022,0,N,9,6,9,24,240,240,0,504,2100,4833.00,,02/01/2012,SISTEMA,0,3592
2011,12,32,1,1,3304,0134.0022,0,S,9,6,9,6,60,60,0,126,2100,4833.00,,02/01/2012,SISTEMA,0,3592
2011,12,32,1,2,136,0111.0020,1,N,1,6,9,,30,30,0,75,2500,500.00,,02/01/2012,SISTEMA,0,506.67
2011,12,32,1,2,136,0111.0070,1,N,9,6,9,,400,400,0,680,1700,780.00,,02/01/2012,SISTEMA,0,779.41
2011,12,32,1,2,136,0119.1040,1,S,9,6,9,,50,50,0,30,600,1250.00,,02/01/2012,SISTEMA,0,1458.33
2011,12,32,1,2,136,0119.1040,2,N,1,6,9,,30,30,0,18,600,1833.00,,02/01/2012,SISTEMA,0,1458.33
2011,12,32,1,2,136,0119.2050,0,N,9,6,9,0,20,20,0,1200,60000,50.00,,02/01/2012,SISTEMA,0,47
2011,12,32,1,2,136,0119.4040,0,N,9,6,9,0,30,30,0,510,17000,200.00,,02/01/2012,SISTEMA,0,100
2011,12,32,1,2,136,0133.1040,0,N,1,6,9,0,3,3,100,51,17000,980.00,,02/01/2012,SISTEMA,100,980
2011,12,32,1,2,136,0133.2080,0,N,9,6,9,0,49,49,0,1470,30000,600.00,,02/01/2012,SISTEMA,0,600
2011,12,32,1,2,136,0133.2080,0,S,9,6,9,0,21,21,0,630,30000,600.00,,02/01/2012,SISTEMA,0,600
2011,12,32,1,2,136,0133.2340,0,N,9,6,9,10,15,15,7,300,20000,600.00,,02/01/2012,SISTEMA,56,325
2011,12,32,1,2,136,0133.3030,0,N,1,6,9,20,180,180,0,2160,12000,400.00,,02/01/2012,SISTEMA,0,400
2011,12,32,1,2,136,0134.0022,0,N,9,6,9,500,1500,1500,0,2520,1680,4833.00,Houve redução no rendimento médio. tendo em vista estar superestimado.,02/01/2012,SISTEMA,0,3592
2011,12,32,1,2,136,0134.0022,0,S,9,6,9,2000,6000,6000,0,10080,1680,4833.00,Houve redução no rendimento médio. tendo em vista estar superestimado.,02/01/2012,SISTEMA,0,3592
2011,12,32,1,2,136,0135.0010,0,N,9,6,9,13,7,7,0,3,429,4500.00,,02/01/2012,SISTEMA,0,4500
2011,12,32,1,2,136,0135.0010,0,S,9,6,9,51,29,29,0,13,448,4500.00,,02/01/2012,SISTEMA,0,4500
2011,12,32,1,2,136,0139.2010,0,N,1,6,9,5,9,9,0,72,8000,2900.00,,02/01/2012,SISTEMA,0,2888.89
2011,12,32,1,2,1001,0111.0070,1,S,9,6,9,,280,280,0,1120,4000,580.00,,02/01/2012,SISTEMA,100,600
2011,12,32,1,2,1001,0113.0010,0,N,9,6,9,0,2107,2107,0,92708,44000,45.00,,02/01/2012,SISTEMA,100,34
2011,12,32,1,2,1001,0119.1040,1,S,9,6,9,,45,45,100,86,1911,0.00,,02/01/2012,SISTEMA,100,1500
2011,12,32,1,2,1001,0119.3010,0,S,9,6,9,3,3,3,0,135,45000,1000.00,,02/01/2012,SISTEMA,100,1000
2011,12,32,1,2,1001,0119.4040,0,N,9,6,9,0,15,15,100,375,25000,150.00,,02/01/2012,SISTEMA,100,150
2011,12,32,1,2,1001,0119.9010,0,N,9,6,9,,35,35,100,350,10000,500.00,,02/01/2012,SISTEMA,100,500
2011,12,32,1,2,1001,0131.0010,0,N,9,6,9,0,2,2,0,8,4000,800.00,,02/01/2012,SISTEMA,100,370
2011,12,32,1,2,1001,0131.0010,0,S,9,6,9,0,2,2,50,8,4000,800.00,,02/01/2012,SISTEMA,50,800
2011,12,32,1,2,1001,0133.2080,0,S,9,6,9,5,48,48,100,1200,25000,1000.00,,02/01/2012,SISTEMA,100,1000
2011,12,32,1,2,1001,0133.2220,0,S,9,6,9,0,2,2,100,0,0,700.00,Goiaba - Segundo o téc. do INCAPER. confirma-se o RM/HA. vez que os produtores vem realizando altos investimentos tecnológicos.,02/01/2012,SISTEMA,100,700
2011,12,32,1,2,1001,0133.2330,0,S,9,6,9,0,175,175,0,21000,120000,450.00,,02/01/2012,SISTEMA,100,700
2011,12,32,1,2,1001,0133.2340,0,S,9,6,9,0,16,16,100,192,12000,450.00,,02/01/2012,SISTEMA,100,450
2011,12,32,1,2,1001,0133.2360,0,S,9,6,9,0,45,45,0,1575,35000,1400.00,,02/01/2012,SISTEMA,100,700
2011,12,32,1,2,1001,0133.3030,0,N,9,6,9,0,58,58,50,794,13690,400.00,Coco - Segundo o téc. após uma revisão na área do município a pedido da Secretaria de Agricultura constataram um plantio de 115 ha da cultura.,02/01/2012,SISTEMA,50,400
2011,12,32,1,2,1001,0133.3030,0,S,9,6,9,0,58,58,0,794,13690,400.00,Coco - Segundo o téc. após uma revisão na área do município a pedido da Secretaria de Agricultura constataram um plantio de 115 ha da cultura.,02/01/2012,SISTEMA,100,350
2011,12,32,1,2,1001,0134.0022,0,N,9,6,9,16,164,164,2,387,2360,4500.00,REAVALIAÇÃO DE ÁREA E RENDIMENTO PELO PELO ÓRGÃO INFORMANTE.,02/01/2012,SISTEMA,12,3708.33
2011,12,32,1,2,1001,0134.0022,0,S,9,6,9,794,8026,8026,0,18963,2363,4500.00,REAVALIAÇÃO DE ÁREA E RENDIMENTO PELO PELO ÓRGÃO INFORMANTE.,02/01/2012,SISTEMA,100,3450
2011,12,32,1,2,1001,0139.1060,0,S,9,6,9,0,65,65,0,195,3000,10000.00,,02/01/2012,SISTEMA,100,3500
2011,12,32,1,2,1001,0139.2010,0,N,9,6,9,190,160,160,0,192,1200,3750.00,,02/01/2012,SISTEMA,100,1600
2011,12,32,1,2,1001,0139.2010,0,S,9,6,9,190,160,160,0,192,1200,3750.00,,02/01/2012,SISTEMA,100,3500
2011,12,32,1,2,1001,0139.9060,0,N,9,6,9,0,1,1,0,1,1000,1200.00,,02/01/2012,SISTEMA,100,1500
2011,12,32,1,2,1001,0139.9060,0,S,9,6,9,0,1,1,50,1,1000,1200.00,,02/01/2012,SISTEMA,50,1200
2011,12,32,1,2,3908,0111.0020,1,N,9,6,9,,80,80,0,240,3000,860.00,,02/01/2012,SISTEMA,100,350
2011,12,32,1,2,3908,0111.0070,1,N,9,6,9,,100,100,20,250,2500,550.00,,02/01/2012,SISTEMA,60,503.33
2011,12,32,1,2,3908,0111.0070,1,S,9,6,9,,400,400,0,1000,2500,550.00,,02/01/2012,SISTEMA,100,480
2011,12,32,1,2,3908,0113.0010,0,N,9,6,9,0,748,748,0,38148,51000,45.00,,02/01/2012,SISTEMA,100,21
2011,12,32,1,2,3908,0113.0010,0,S,9,6,9,0,102,102,12,5202,51000,45.00,,02/01/2012,SISTEMA,80,28.1
2011,12,32,1,2,3908,0119.1040,1,S,9,6,9,,150,150,100,225,1500,0.00,,02/01/2012,SISTEMA,100,1756.32
2011,12,32,1,2,3908,0119.1040,2,S,9,6,9,,150,150,100,210,1400,1550.00,,02/01/2012,SISTEMA,100,1550
2011,12,32,1,2,3908,0119.3010,0,N,9,6,9,3,3,3,0,105,35000,950.00,,02/01/2012,SISTEMA,100,952.38
2011,12,32,1,2,3908,0119.3010,0,S,9,6,9,3,3,3,50,105,35000,950.00,,02/01/2012,SISTEMA,50,950
2011,12,32,1,2,3908,0119.4040,0,N,9,6,9,100,400,400,0,6000,15000,150.00,,02/01/2012,SISTEMA,100,100
2011,12,32,1,2,3908,0131.0010,0,N,9,6,9,0,51,51,0,194,3804,810.00,,02/01/2012,SISTEMA,100,385
2011,12,32,1,2,3908,0133.1040,0,N,9,6,9,0,15,15,0,240,16000,1500.00,,02/01/2012,SISTEMA,100,929.17
2011,12,32,1,2,3908,0133.2080,0,N,9,6,9,0,24,24,0,432,18000,800.00,,02/01/2012,SISTEMA,100,300
2011,12,32,1,2,3908,0133.2080,0,S,9,6,9,0,56,56,70,1008,18000,800.00,,02/01/2012,SISTEMA,70,800
2011,12,32,1,2,3908,0133.2220,0,N,9,6,9,3,10,10,0,110,11000,850.00,,02/01/2012,SISTEMA,100,781.82
2011,12,32,1,2,3908,0133.2330,0,S,9,6,9,0,35,35,0,3325,95000,400.00,,02/01/2012,SISTEMA,100,700
2011,12,32,1,2,3908,0133.2340,0,N,9,6,9,0,5,5,0,75,15000,500.00,,02/01/2012,SISTEMA,100,500
2011,12,32,1,2,3908,0133.2360,0,S,9,6,9,0,10,10,0,150,15000,1350.00,,02/01/2012,SISTEMA,100,700
2011,12,32,1,2,3908,0133.3030,0,N,9,6,9,0,50,50,50,1000,20000,400.00,,02/01/2012,SISTEMA,50,400
2011,12,32,1,2,3908,0133.3030,0,S,9,6,9,0,50,50,0,1000,20000,400.00,,02/01/2012,SISTEMA,100,200
2011,12,32,1,2,3908,0134.0022,0,N,9,6,9,480,3520,3520,4,6000,1705,4500.00,CAFÉ CONILON - REAVALIAÇÃO DE ÁREA E RENDIMENTO PELO PELO ÓRGÃO INFORMANTE.,02/01/2012,SISTEMA,100,3592
2011,12,32,1,2,3908,0134.0022,0,S,9,6,9,1920,14080,14080,0,24000,1705,4500.00,CAFÉ CONILON - REAVALIAÇÃO DE ÁREA E RENDIMENTO PELO PELO ÓRGÃO INFORMANTE.,02/01/2012,SISTEMA,100,3450
2011,12,32,1,2,3908,0135.0010,0,N,9,6,9,0,40,40,0,10,250,4550.00,,02/01/2012,SISTEMA,100,3900
2011,12,32,1,2,3908,0139.1060,0,S,9,6,9,0,110,110,0,330,3000,10100.00,,02/01/2012,SISTEMA,100,3800
2011,12,32,1,2,3908,0139.2010,0,N,9,6,9,0,104,104,0,83,798,3800.00,,02/01/2012,SISTEMA,100,1600
2011,12,32,1,2,3908,0139.9060,0,N,9,6,9,0,60,60,0,36,600,1300.00,,02/01/2012,SISTEMA,100,1305.56
2011,12,32,1,2,4708,0111.0020,1,N,9,6,9,,10,10,0,20,2000,900.00,,02/01/2012,SISTEMA,0,900
2011,12,32,1,2,4708,0111.0070,1,N,9,6,9,,150,150,0,270,1800,700.00,,02/01/2012,SISTEMA,0,581.48
2011,12,32,1,2,4708,0113.0010,0,N,9,6,9,0,50,50,0,2500,50000,75.00,,02/01/2012,SISTEMA,0,"45,2"
2011,12,32,1,2,4708,0119.1040,1,N,9,6,9,,40,40,0,28,700,1600.00,,02/01/2012,SISTEMA,0,2100
2011,12,32,1,2,4708,0119.1040,2,N,9,6,9,,20,20,0,12,600,1600.00,,02/01/2012,SISTEMA,0,2100
2011,12,32,1,2,4708,0119.3020,0,S,9,6,9,,10,10,0,200,20000,600.00,,02/01/2012,SISTEMA,0,500
2011,12,32,1,2,4708,0119.4040,0,N,9,6,9,0,35,35,0,595,17000,150.00,,02/01/2012,SISTEMA,0,100
2011,12,32,1,2,4708,0131.0010,0,N,9,6,9,0,25,25,0,300,12000,820.00,,02/01/2012,SISTEMA,0,900
2011,12,32,1,2,4708,0133.1040,0,N,9,6,9,0,15,15,0,240,16000,980.00,,02/01/2012,SISTEMA,0,800
2011,12,32,1,2,4708,0133.2080,0,N,9,6,9,0,30,30,0,240,8000,500.00,,02/01/2012,SISTEMA,0,541.67
2011,12,32,1,2,4708,0133.2340,0,N,9,6,9,55,20,20,0,340,17000,500.00,,02/01/2012,SISTEMA,0,500
2011,12,32,1,2,4708,0133.2360,0,N,9,6,8,0,12,12,0,240,20000,1400.00,na reavaliação de campo. verificou-se a presença da cultura.,02/01/2012,SISTEMA,0,1400
2011,12,32,1,2,4708,0133.3030,0,N,9,6,9,50,275,275,0,2888,10502,400.00,,02/01/2012,SISTEMA,0,450.04
2011,12,32,1,2,4708,0133.3030,0,S,9,6,9,50,275,275,0,2888,10502,400.00,,02/01/2012,SISTEMA,0,450.04
2011,12,32,1,2,4708,0134.0022,0,N,9,6,9,200,1150,1150,0,1800,1565,4300.00,,02/01/2012,SISTEMA,0,3592
2011,12,32,1,2,4708,0134.0022,0,S,9,6,9,1800,10350,10350,0,16200,1565,4300.00,,02/01/2012,SISTEMA,0,3592
2011,12,32,1,2,4708,0135.0010,0,N,9,6,9,5,19,19,0,8,421,5000.00,,02/01/2012,SISTEMA,0,4500
2011,12,32,1,2,4708,0135.0010,0,S,9,6,9,3,13,13,0,6,462,5000.00,,02/01/2012,SISTEMA,0,4500
2011,12,32,1,2,4708,0139.2010,0,N,9,6,9,90,270,270,0,567,2100,1650.00,,02/01/2012,SISTEMA,0,1650.79
2011,12,32,1,2,5150,0111.0020,1,N,9,6,9,,10,10,0,30,3000,880.00,,02/01/2012,SISTEMA,100,360
2011,12,32,1,2,5150,0111.0070,1,N,9,6,9,,70,70,20,112,1600,580.00,,02/01/2012,SISTEMA,80,452.5
2011,12,32,1,2,5150,0111.0070,1,S,9,6,9,,280,280,0,448,1600,580.00,,02/01/2012,SISTEMA,100,410
2011,12,32,1,2,5150,0119.3010,0,N,9,6,9,0,1,1,100,25,25000,980.00,,02/01/2012,SISTEMA,100,980
2011,12,32,1,2,5150,0119.4040,0,N,9,6,9,20,40,40,0,480,12000,145.00,Mandioca - Segundo o téc. após levantamento da cultura. constatou-se que 40 ha da cultura colheria até dezembro de 2011. ficando 20ha para o ano de 2012.,02/01/2012,SISTEMA,100,145
2011,12,32,1,2,5150,0133.2080,0,N,9,6,9,0,38,38,0,461,12132,800.00,,02/01/2012,SISTEMA,100,400
2011,12,32,1,2,5150,0133.2080,0,S,9,6,9,0,10,10,20,115,11500,800.00,,02/01/2012,SISTEMA,20,800
2011,12,32,1,2,5150,0133.2360,0,S,9,6,9,0,30,30,0,600,20000,1350.00,Maracujá - Todas as áreas terão o fim do ciclo produtivo. Não havendo renovação até o presente momento.,02/01/2012,SISTEMA,100,200
2011,12,32,1,2,5150,0133.3030,0,N,9,6,9,0,30,30,50,480,16000,400.00,,02/01/2012,SISTEMA,50,400
2011,12,32,1,2,5150,0133.3030,0,S,9,6,9,0,30,30,0,480,16000,400.00,,02/01/2012,SISTEMA,100,200
2011,12,32,1,2,5150,0134.0022,0,S,9,6,9,820,9420,9420,0,15974,1696,4500.00,Café Conilon - Aumento no RM/HA. devido melhores tratos culturais. adensamento. poda. variedades produtivas. irrigações e acompanhamento técnico.Redução de área em produção. devido a uma nova avaliação feito pelo informante.,02/01/2012,SISTEMA,100,3348.4
2011,12,32,1,2,5150,0139.2010,0,N,9,4,9,10,0,0,0,0,0,0.00,,02/01/2012,SISTEMA,0,0
2011,12,32,1,2,5176,0111.0070,1,S,9,6,9,,150,150,0,270,1800,700.00,Baixo Rendimento devido a cultura ser em média 50% intercalada com o café. com pouco uso de tecnologia. poucos tratos culturais. falta de adubação.,02/01/2012,SISTEMA,0,581.48
2011,12,32,1,2,5176,0119.1040,1,S,9,6,9,,50,50,0,30,600,1500.00,Baixa produtividade devido a cultura ser intercalada com o café.,02/01/2012,SISTEMA,0,1897.44
2011,12,32,1,2,5176,0119.1040,2,S,1,6,9,,15,15,0,9,600,1500.00,Baixa produtividade devido a cultura ser intercalado com o café.,02/01/2012,SISTEMA,0,1897.44
2011,12,32,1,2,5176,0133.2080,0,N,1,6,9,0,12,12,0,37,3083,500.00,Baixo rendimento. devido a cultura ser intercalada com o café. Pouco investimento do produtor em adubação.,02/01/2012,SISTEMA,0,536.59
2011,12,32,1,2,5176,0133.2080,0,S,1,6,9,0,28,28,0,86,3071,500.00,Baixo rendimento. devido a cultura ser intercalada com o café. Pouco investimento do produtor em adubação.,02/01/2012,SISTEMA,0,536.59
2011,12,32,1,2,5176,0133.2340,0,N,1,6,9,0,4,4,0,54,13500,400.00,Predomina a cultura de subsistencia. sem tecnologia e sem irrigação.,02/01/2012,SISTEMA,0,500
2011,12,32,1,2,5176,0133.2360,0,S,1,6,9,0,5,5,0,50,10000,1400.00,Rendimento baixo devido a falta de tratos culturais. sem irrigação. pouco uso de tecnologia.,02/01/2012,SISTEMA,0,1400
2011,12,32,1,2,5176,0133.3030,0,N,1,6,9,40,360,360,0,3888,10800,400.00,,02/01/2012,SISTEMA,0,450
2011,12,32,1,2,5176,0133.3030,0,S,1,6,9,60,540,540,0,5832,10800,400.00,,02/01/2012,SISTEMA,0,450
2011,12,32,1,2,5176,0134.0022,0,N,9,6,9,350,2150,2150,0,3942,1833,4300.00,,02/01/2012,SISTEMA,0,3592
2011,12,32,1,2,5176,0134.0022,0,S,9,6,9,3150,19350,19350,0,35478,1833,4300.00,,02/01/2012,SISTEMA,0,3592
2011,12,32,1,2,5176,0135.0010,0,S,9,6,9,6,18,18,0,5,278,5000.00,Plantio Novo,02/01/2012,SISTEMA,0,4600
2011,12,32,1,2,5176,0139.1060,0,N,1,6,9,5,11,11,0,22,2000,12000.00,,02/01/2012,SISTEMA,0,10000
2011,12,32,1,2,5176,0139.1060,0,S,1,6,9,11,25,25,0,52,2080,12000.00,,02/01/2012,SISTEMA,0,10000
2011,12,32,1,2,5176,0139.2010,0,N,9,6,9,0,10,10,0,21,2100,1650.00,Bom rendimento devido ao acompanhamento de técnicos.,02/01/2012,SISTEMA,0,1666.67
2011,12,32,1,3,359,0111.0020,1,S,9,6,9,,15,15,0,45,3000,500.00,,02/01/2012,SISTEMA,0,511.11
2011,12,32,1,3,359,0111.0070,1,N,1,6,9,,7,7,0,11,1571,780.00,Houve Redução da àrea de Milho em função da falta de estímulo do produtor. levando em conta que para ele sai mais barato comprar da CONAB do que plantar.,02/01/2012,SISTEMA,0,800
2011,12,32,1,3,359,0111.0070,1,S,1,6,9,,3,3,0,5,1667,780.00,Houve Redução da àrea de Milho em função da falta de estímulo do produtor. levando em conta que para ele sai mais barato comprar da CONAB do que plantar.,02/01/2012,SISTEMA,0,800
2011,12,32,1,3,359,0113.0010,0,N,9,6,9,0,19,19,0,342,18000,50.00,,02/01/2012,SISTEMA,0,50
2011,12,32,1,3,359,0119.1040,1,N,9,6,9,,11,11,0,6,545,0.00,,02/01/2012,SISTEMA,0,1555.56
2011,12,32,1,3,359,0119.1040,1,S,9,6,9,,5,5,0,3,600,0.00,,02/01/2012,SISTEMA,0,1555.56
